"math","studteachr","income","lunch","english","expenditure","teach20"
690,17.8899,22.69,2.0408,0,6384.9111,0
661.9,21.5247,9.824,47.9167,4.5833,5099.3809,0
650.9,18.6972,8.978,76.3226,30,5501.9546,0
643.5,17.3571,8.978,77.0492,0,7101.8311,0
639.9,18.6713,9.0803,78.427,13.8577,5235.9878,0
605.4,21.4062,10.415,86.9565,12.4088,5580.147,0
609,19.5,6.577,94.6237,68.7179,5253.3311,0
612.5,20.8941,8.174,100,46.9595,4565.7461,0
616.1,19.9474,7.385,93.1398,30.0792,5355.5483,0
613.4,20.8056,11.6133,87.3164,40.2759,5036.2114,0
618.7,21.2381,8.931,85.8744,52.9148,4547.6924,0
616,21,7.385,98.6056,54.6099,5447.3452,0
619.8,20.6,5.335,98.1308,42.7184,6567.1494,0
622.6,20.0082,8.279,77.1484,20.5339,4818.6128,0
621,18.0278,9.63,76.2712,80.1233,5621.4561,0
619.9,20.252,7.454,94.2957,49.4131,6026.3599,0
624.4,16.9779,6.216,97.7597,85.5397,6723.2378,0
621.7,16.5098,7.764,77.9097,58.9074,5589.8853,0
620.5,22.704,7.022,94.9712,77.0058,5064.6157,0
619.3,19.9111,5.699,93.2292,49.814,5433.5933,0
625.4,18.3333,7.941,100,40.6818,5725.5635,0
622.9,22.619,9.63,91.5464,16.2105,4542.105,0
620.6,19.4483,7.405,70.8167,45.0749,5107.0864,0
623.4,25.0526,9.63,100,39.0756,4659.6616,0
625.7,20.6754,8.019,90.6237,76.6653,4555.4644,0
621.2,18.6824,8.523,85.1472,40.4912,5415.1528,0
626,22.8455,7.9832,88.0349,73.7202,4997.8716,0
630.4,19.2667,7.305,92.1953,70.0115,5223.9121,1
627.1,19.25,8.934,90.2007,55.9622,5139.1646,0
620.4,20.5455,8.554,81.0235,11.0619,4614.252,0
628.7,20.607,6.613,81.5065,80.4201,5342.2334,0
626.9,21.0727,12.409,90.2849,63.1304,5347.4585,0
629.8,21.5358,8.1266,91.5934,65.1219,5036.459,0
625.6,19.904,11.431,55.093,53.4164,5117.1416,0
626.8,21.1941,11.7222,80.1956,49.8231,5117.0396,0
628.2,21.8654,11.3325,84.4338,35.4654,5272.1919,0
630.2,18.3296,9.598,84.7314,56.1255,5225.7192,0
625.3,16.2286,14.558,94.9324,32.3944,6516.5332,0
630.1,19.1786,22.06,81.1173,65.5121,4559.1768,0
627.1,20.2774,9.709,87.7782,53.0554,5119.1582,0
628.7,22.9861,11.4829,71.4331,49.6425,5338.1855,1
635.2,20.4444,8.178,85.8696,45.1087,5090.0449,0
627.7,19.8208,8.174,88.0952,30.3205,5485.4961,0
636.2,23.2052,7.5,100,52.2431,4793.3701,0
631,19.267,10.0505,92.7431,36.8013,5092.9175,0
629.4,23.3019,7.332,62.1302,30.2834,4359.521,0
631.2,21.1883,12.5816,69.7399,49.8646,5645.4956,0
628.9,20.8718,15.177,67.4447,13.7592,4518.0161,0
629.5,19.0175,12.1091,84.295,28.8637,5864.3662,0
632.6,21.9194,11.785,70.8957,52.8048,5257.9966,0
633.7,20.1012,14.062,79.512,44.0851,5016.6924,1
627.1,21.4765,10.472,79.7255,35.25,4720.0864,1
630.7,20.0658,13.4051,69.9425,37.4945,5470.5625,0
634.2,20.3751,12.3018,77.5256,50.3906,5615.4419,1
629.7,22.4465,15.4041,61.7382,31.0726,5245.4399,0
630.5,22.8952,13.762,52.9435,18.2612,4838.1753,0
633,20.498,14.184,81.1165,34.7002,5367.9883,0
627,20,8.865,84.5539,33.2889,5526.2368,0
627.6,22.2566,12.997,52.3964,33.4877,4353.0195,0
632.5,21.5644,11.592,66.1949,38.1588,5034.29,0
636.7,19.4774,8.279,83.1579,36.9295,4692.4937,0
635.8,17.67,10.9056,84.999,32.9895,5606.7817,0
636.7,21.9476,13.4006,82.3926,58.2167,4969.1807,0
632.9,21.7834,11.081,56.0636,17.0036,4675.6748,1
633.1,19.14,9.082,82.1317,17.6594,5306.1328,0
629.6,18.1105,13.39,80.6042,7.3215,5693.8833,0
636.2,20.6824,14.6016,93.9227,31.1982,5181.5796,0
630.5,22.6236,11.116,63.8036,16.6174,5228.6509,0
636.7,21.7865,8.423,100,58.081,5339.3911,0
631.5,18.5829,11.665,84.9206,55.8925,6056.4971,1
636.6,21.5455,7.305,76.7932,5.4852,4845.6802,0
631.1,21.1529,13.7306,68.3964,14.4292,4826.666,0
633.6,16.6333,11.116,83.1193,22.8457,5367.0903,0
636.2,21.1444,10.3644,77.0089,38.7833,5742.7329,0
638.7,19.7818,6.983,86.0294,64.2463,4136.251,0
632.1,18.9837,14.4678,74.851,25.2256,5267.8311,0
633.5,17.6677,14.653,33.0623,5.3824,5238.3921,0
626.1,17.755,10.629,85.5422,6.079,5462.8994,0
630,15.2727,9.781,66.2551,0,6313.3735,0
636.6,14,10.656,68.8235,0,6653.0308,0
638.2,20.5961,11.938,72.8628,34.8892,5533.1494,0
634.8,16.3117,7.385,93.6306,13.0573,6118.7104,0
638.7,21.128,10.676,72.3208,36.0251,5098.627,1
638.3,17.488,9.972,73.5976,34.6535,5652.8789,0
638.3,17.8868,8.258,75.7384,28.692,5329.0024,0
627.8,19.3068,8.896,62.2128,1.7953,5929.8091,0
641.1,20.8923,12.062,80.8683,30.6333,4897.0679,0
641.4,21.2868,9.4289,83.8737,59.0335,5100.2021,0
637.7,20.1956,8.9203,68.5719,13.5593,4825.7227,0
637.9,24.95,10.098,80.9249,5.01,4079.1292,0
636.2,18.1304,11.83,46.0432,0.9592,5349.3677,0
633.8,20,11.553,72.1854,0.6667,5869.3892,0
630.4,18.7295,19.707,67.713,38.512,6462.1279,0
629.8,18.25,7.105,54.1096,0,6231.6016,0
642.7,18.9926,13.725,66.9492,17.1739,4993.8677,0
639.3,19.8876,10.098,59.7222,9.887,4663.811,0
636,19.3789,13.762,64.7474,19.3916,6107.1064,0
640.4,20.4626,9.665,65.7961,36.4894,5324.228,0
646.2,22.2916,10.264,83,39.4,5221.4609,0
638.1,20.7047,11.5692,59.7235,28.6776,5157.7847,0
639.6,19.0601,7.405,66.4384,13.6986,5131.1191,0
640.5,20.2325,12.077,65.3828,11.3498,5279.354,0
638.2,19.6901,11.283,56.0656,3.4426,4704.0439,0
635.9,20.3625,10.035,60.1329,15.4303,6089.9106,0
638.8,19.7542,8.384,63.9055,17.9738,5356.8335,0
637.6,19.3798,13.63,37.0456,22.7177,5144.5493,0
637.8,22.9235,14.1277,51.2421,18.4362,4906.23,0
638.1,19.3734,11.2661,74.2723,16.1717,5489.5889,0
638.3,19.1552,13.39,64.0977,2.0221,5718.5513,0
645.5,21.3,11.938,64.7887,9.6244,4436.1528,0
636.7,18.3036,8.258,80.9756,41.4634,4895.4395,0
639.9,21.0793,14.2267,56.2994,9.899,5159.2188,0
643.3,18.7912,10.472,68.0912,16.0819,5490.6548,0
643,19.6266,14.2429,71.0238,43.4949,5172.0195,0
636.9,19.5902,14.066,69.6203,8.7866,4441.6729,0
641.8,20.8719,15.968,52.9735,39.0244,5220.3701,0
643.6,21.115,10.264,71.7624,53.8903,5252.8105,0
644.3,20.0845,10.6025,70.8064,41.1333,5518.7021,0
642.3,19.9105,10.523,75.5043,1.3833,5609.4878,0
644.7,17.8129,11.238,82.0675,35.443,4945.0317,1
642.6,18.1333,10.056,74.8624,8.6397,5223.0254,0
647.4,19.2222,11.183,54.6541,15.3498,4757.0254,0
644.6,18.6607,7.385,63.4328,19.8565,5522.1616,0
632.9,19.6,13.579,47.1503,3.0612,6087.6089,0
644.1,19.2838,9.63,53.2106,9.8732,4960.5156,0
643.8,22.8182,15.274,44.2597,16.0956,4880.0405,0
647.1,18.8092,14.0343,80.2587,43.499,6538.418,0
647.9,21.3736,10.2397,82.5722,45.038,4925.6597,0
645.1,20.0204,9.485,67.7518,18.1957,5204.6875,0
642.8,21.4986,15.0299,44.4766,15.4877,4907.4106,0
634.3,15.4286,9.781,48.8789,0.9259,5923.4517,0
653.8,22.4,13.192,58.0357,7.5893,4741.957,0
641.7,20.1271,12.216,57.0722,29.0858,4954.0195,0
636.1,19.038,14.076,34.0789,0.133,5500.1079,0
643.9,17.3422,25.4873,39.0368,50.8576,5360.5171,0
636.7,17.0186,14.867,31.3869,11.4964,5685.6392,0
639.4,20.8,9.972,49.5238,13.4615,5594.1963,0
645.7,21.1538,14.578,45.8182,4.7273,4692.5669,0
644.7,18.4583,7.385,69.9774,21.4447,5085.4062,0
643.1,19.1408,12.343,58.5454,12.3537,5456.1973,0
644.1,19.4077,12.4313,56.6751,30.1489,5105.1797,0
640.2,19.569,14.906,59.0308,15.859,5519.6772,0
647.3,21.5012,12.6699,71.9121,43.75,5065.9111,0
633.7,17.5294,10.333,59.0604,0,5182.4282,0
633.1,16.4302,11.972,52.1739,0,5960.4644,0
643.4,19.7965,12.827,65.915,16.6522,5124.8364,0
646.4,17.1861,10.04,70.6577,3.2203,5655.1333,0
647.2,17.6159,13.335,72.1429,0,5811.6899,0
646,20.1254,9.854,47.0299,48.5246,5467.6738,0
639.5,22.1667,11.426,35.8209,0.7519,5213.0894,0
641.5,19.9615,15.131,37.9576,1.9268,4613.1875,0
649.7,19.0395,14.578,40.625,13.5135,4886.9839,0
651.2,15.2244,10.268,76.2774,0,6455.1367,0
645.2,21.1447,15.5929,55.7901,16.7146,5125.4331,0
644,19.6439,11.238,40.5646,5.9435,5193.6924,0
649.4,21.0487,15.0514,55.0939,36.1744,5002.8389,0
648.2,20.1754,15.4132,62.5039,44.9719,5337.6255,0
646.1,21.3913,11.081,43.9024,16.6667,5161.2021,0
651.6,20.0083,10.098,68.8579,15.1872,5158.792,0
649.5,20.2914,14.2983,45.995,34.3378,5123.4741,0
643.8,17.6667,11.803,59.5388,0,5782.5439,0
645.8,18.2206,9.972,32.1871,13.0674,4842.6079,0
643.6,20.271,15.409,7.4866,4.2781,4219.4062,0
651,20.1989,15.2938,58.5331,39.5946,5081.1699,0
648.4,21.3842,15.5329,32.483,21.6684,5144.9937,0
647.7,20.9737,16.293,35.7591,3.2622,4674.2988,0
645.1,20,12.875,39.2857,7.8571,4830.3262,0
654,17.1533,16.623,67.234,39.5745,5621.688,0
652.8,22.3498,12.5499,51.5674,10.1278,4948.8682,0
652.3,22.1701,14.2586,52.1202,27.5218,5100.9756,0
643.4,18.1818,18.326,23.2258,14,5132.7886,1
649.2,18.9571,12.7491,51.7709,8.842,5358.5171,0
648.1,19.7453,11.426,52.2523,6.4058,5149.1865,0
647.1,16.4262,8.83,54.7619,2.3952,5373.2065,0
645.8,16.6254,11.176,89.6996,5.9574,6485.166,0
646.5,16.3818,14.228,59.1304,8.1739,5504.0254,0
645.8,20.0742,15.027,29.7812,15.4589,5105.7344,0
647.7,17.9954,10.521,54.9898,0,5634.731,0
650,19.3913,18.626,17.5439,0,4980.2944,0
645.7,16.4286,22.529,0,0,6113.8599,0
649,16.7295,18.2984,55.1008,31.8246,5850,0
650.7,24.4135,11.8857,32.3697,12.8009,4547.9448,0
648.3,18.2642,9.926,51.6529,0,5011.8403,0
640.8,18.955,14.197,50.7634,3.8462,5261.3706,0
655.9,21.039,9.63,58.2043,2.4691,4276.1152,0
649.4,20.7407,10.639,45.7143,10.7143,4566.27,0
651.8,18.1,14.475,66.8508,0,6049.4951,0
647.5,19.8462,13.467,24.8148,1.938,4974.2812,0
655.8,21.6,9.665,32.1101,4.6296,4432.478,0
647.8,22.4424,12.708,50,5.2506,4924.6191,0
652.6,23.0144,17.823,40.3995,27.5404,4603.6597,0
649.5,17.7489,17.156,31.0345,14.9826,5973.9253,0
653.7,18.2866,19.5896,47.7025,47.8794,5215.9438,0
647.5,19.2654,14.197,46.0504,0,4882.2368,0
644.5,22.6667,11.912,32.3529,1.7647,4145.8359,1
649.6,19.2941,13.386,65.8537,0,7542.0381,0
651.9,17.3636,11.554,59.2138,0,5247.0181,0
648.9,19.8214,19.026,25.3071,7.2891,5169.8149,0
650.1,20.4338,16.407,36.4499,17.028,5951.0059,0
